ID;Imei;Device;
1;01009700;Samsung N625;
2;01010600;Hiptop HT1;
3;01013200;Samsung R225;
4;01014800;SonyEricsson GM28;
6;01019200;Samsung R225m;
7;01019500;LG w300;
8;01019600;Samsung S300m;
9;01020500;Motorola C350;
10;01020600;Nokia 3395;
11;01021000;Nokia 3390b;
12;01021600;Ericsson T226;
13;01022100;Nokia 6340i;
14;01022200;LG 1400;
15;01023400;Nokia 6341i;
16;01023700;RIM Blackberry 7730;
17;01024000;Sagem X-2a;
18;01024300;Wavecom MultiTech;
19;01024600;Wavecom Q2426B;
20;01025000;Siemens A56;
21;01025600;SonyEricsson GC82;
22;01025700;SonyEricsson T2002;
23;01027100;Nokia 3390;
24;01027400;Nokia 1100;
25;01027900;Sagem MyX-2;
26;01029400;Nixxo NGX 9230;
27;01030000;Motorola C200;
28;01030300;Siemens C61;
29;01030800;NEC A232A;
30;01031200;LG G4010;
31;01031800;Sierra Wireless 2005;
32;01033100;Samsung X426;
33;01033200;Sierra A11;
34;01033300;SonyEricsson T226;
35;01034000;Samsung X427;
36;01034400;Samsung E600/8;
37;01034800;Siemens A56;
38;01035800;Samsung P735;
39;01036300;Motorola C200;
40;01036600;Samsung E317;
41;01036700;Nokia 6651;
42;01036900;Adbon he45;
43;01037500;NEC 535;
44;01038400;Skytec VR1;
45;01039300;Samsung E608;
46;01039700;Motorola C115;
47;01039900;Samsung X426m;
48;01040000;Sagem MyX-1;
49;01040200;Siemens 827;
50;01041300;Motorola C200;
51;01041600;Nokia 6010;
52;01042000;Nokia 6010;
53;01042200;Nokia 1400;
54;01042600;Alcatel 557a;
55;01042700;Nokia 3595;
56;01043100;Samsung E105;
57;01043900;Motorola C115;
58;01044200;Nokia 1100;
59;01044500;SonyEricsson T237;
60;01045400;Samsung X426;
61;01045700;LG C1300;
62;01046200;LG LG1400;
63;01046900;SonyEricsson T237;
64;01047000;Motorola C115;
65;01047800;Samsung C207L;
66;01048200;Motorola C200;
67;01048300;LG A7110;
68;01048400;Samsung E316;
69;01050000;Nokia 1108b;
70;01050400;Samsung E317;
71;01050800;Samsung E431i;
72;01050900;Sagem OT268;
73;01051000;Nokia 1108b;
74;01051200;Alcatel 155a;
75;01051300;Sendo SND251;
76;01051400;Alcatel OT355a;
77;01051500;Alcatel 156a;
78;01051600;Sagem MyX-T;
79;01052000;Nokia 1100;
80;01052100;Nokia 6670;
81;01052200;Nokia 1100;
82;01052300;Motorola C155;
83;01052700;Samsung 466;
84;01054500;Alcatel 331a;
85;01054900;Motorola V172;
86;01055200;Samsung C207;
87;01055500;Samsung X426;
88;01055800;Nokia 6010;
89;01055900;Nokia 6010;
90;01055990;Nokia 1108;
91;01056000;Nokia 6100;
92;01056200;Nokia 1108b;
93;01056400;LG 1300i;
94;01056500;LG C1300;
95;01056800;Siemens A71;
96;01057400;Alcatel 552;
97;01058500;Sagem MyX1-2;
98;01058700;RIM Blackberry 8700c;
99;01058900;Pantech 3210;
100;01059500;Ericsson T290;
101;01059900;Nokia 1100b;
102;01060100;Alcatel 158;
103;01060200;Alcatel OT159a;
104;01060300;Alcatel E158A;
105;01060400;Alcatel E157a;
106;01061400;Alcatel OT-E252;
107;01061600;Nokia 2600;
108;01062700;LG F7200;
109;01063400;Motorola V173;
110;01063600;LG F9100;
111;01063700;Ericsson J300;
112;01064000;Nokia 1108;
113;01064800;LG C1500;
114;01064900;LG MG201d;
115;01065000;LG CE500;
116;01065200;Motorola G20;
117;01065700;Enfora 2218-01;
118;01065900;Motorola C115;
119;01066000;Sharp V100;
120;01066700;SonyEricsson T290a;
121;01066900;Samsung X497;
122;01067200;LG C1300i;
123;01067600;Pantech PG-1410;
124;01067800;Motorola C139;
125;01067900;Motorola C115;
126;01068400;Motorola C115;
127;01068500;LG F9200;
128;01068900;Nokia 6030;
129;01069100;Motorola C115;
130;01069200;Alcatel E259A;
131;01069300;Alcatel 151;
132;01069400;Alcatel E161a;
133;01070000;Nokia 6010;
134;01070100;Nokia 6010;
135;01070200;Nokia 6010;
136;01070300;Nokia 6630;
137;01070400;Nokia 1108;
138;01070800;Nokia 2600;
139;01071000;Pantech G-310C;
140;01071100;Motorola M900;
141;01071200;Nokia 6030;
142;01071300;Enfora TT8540;
143;01071500;Nokia 6061;
144;01071501;Nokia 6061;
145;01072200;Nokia 1100;
146;01072500;Motorola C116;
147;01073300;Nokia 1600;
148;01073400;Nokia 1110;
149;01073600;LG CU320;
150;01073700;Motorola C115;
151;01073800;Motorola V171;
152;01073900;Motorola V172;
153;01074000;NovaTel Merlin U730;
154;01074200;LG C2000;
155;01074300;LG C1500;
156;01074400;Nokia 1108;
157;01074500;Nokia 1108;
158;01074600;Sagem my400l;
159;01074800;SonyEricsson Z300a;
160;01074900;SonyEricsson Z300a;
161;01076000;Nokia 6030;
162;01076200;Accetio 2189;
163;01076400;Nokia 1110;
164;01076500;Nokia 1110;
165;01076600;Nokia 1110;
166;01076700;Nokia 1600;
167;01076800;Nokia 6061;
168;01077000;Sagem My101L;
169;01078200;LG C2000;
170;01079100;Nokia 1108;
171;01079400;Motorola C115;
172;01079500;Motorola V177;
173;01079700;Pantech C300;
174;01079800;Motorola C261;
175;01080000;Nokia 1100;
176;01080100;LG CG300;
177;01080200;Motorola C139;
178;01081000;Nokia 1112;
179;01081700;Nokia RH-36;
180;01081800;Nokia 1100;
181;01082400;Nokia 6010;
182;01083000;SonyEricsson J220a;
183;01083200;Motorola C116;
184;01083400;LG C1500;
185;01083600;Nokia 1108;
186;01083700;Nokia 2600;
187;01084700;LG C2000;
188;01084800;SonyEricsson J100a;
189;01084900;Nokia 6030;
190;01085100;LG CU500;
191;01085300;Dell 5700;
192;01088500;Motorola C261;
193;01089200;Nokia 6030;
194;01089300;SonyEricsson J100a;
195;01089400;LG mg610c;
196;01089500;LG MG300d;
197;01089600;Pantech C120 / C300;
198;01089800;Alcatel c630a;
199;01089900;Alcatel OT-C560a;
200;01090001;SonyEricsson Z500a;
201;01090200;LG CG225;
202;01090400;Alcatel E100a;
203;01090800;SonyEricsson W300a;
204;01091100;Motorola C115 / C261;
205;01091200;Motorola 1fc139b;
206;01091300;Motorola V176;
207;01091400;LG MG800c;
208;01091500;Pantech 1410;
209;01092200;Alcatel OT-E200A;
210;01092300;Alcatel OT-E105a;
211;01092500;alcatel OT-E801a;
212;01092600;Nokia 1600b;
213;01092800;Nokia 6030;
214;01093000;LG mg180;
215;01093200;LG MG220d;
216;01093300;LG MG810;
217;01093400;Nokia 1108;
218;01093600;SonyEricsson Z300a;
219;01093800;LG MG210d;
220;01093900;Siemens A31;
221;01094200;Siemens A31a;
222;01094600;Nokia 6061;
223;01095400;Motorola T191;
224;01095600;Motorola C139;
225;01096500;Nokia 6061;
226;01096600;Nokia 6061;
227;01096700;Motorola C151;
228;01096800;Motorola C139b;
229;01097100;Motorola W220;
230;01097200;Nokia 1600;
231;01097300;Motorola C139;
232;01097600;Motorola V170/2/5;
233;01098300;Motorola C139;
234;01098400;Motorola G24;
235;01098500;Alcatel E158a;
236;01098700;Sagem My101i;
237;01098900;Motorola C115;
238;01099000;Motorola C115;
239;01099400;Motorola W220;
240;01099600;Nokia 1100/12;
241;01099700;Nokia 1112;
242;01100400;Motorola C122;
243;01100600;LG MG110a;
244;01101300;Wavecom GR64;
245;01103600;Motorola Motorola F3;
246;01103800;Palm Treo 750;
247;01103900;Pantech PG-C3;
248;01104000;Nokia 2610;
249;01105200;Nokia 6030;
250;01105500;Nokia 1600;
251;01105600;LG mg120a;
252;01105700;NovaTel Merlin XU870;
253;01105800;Motorola C139a;
254;01106000;LG MG320;
255;01106100;LG TG800;
256;01106800;Nokia 1112;
257;01107100;LG CU400;
258;01107500;Nokia 1112;
259;01108000;LG me-240;
260;01108100;LG CG225;
261;01108300;Motorola C118/39;
262;01108400;Motorola F3;
263;01108500;Motorola W220;
264;01108600;Nokia 1600;
265;01108700;Nokia 1112b;
266;01108800;Motorola C139;
267;01108900;Motorola C139;
268;01109300;Palm Treo 680;
269;01109800;Motorola C139;
270;01109900;Motorola C139;
271;01110000;Motorola C115;
272;01111400;Nokia 6030;
273;01111500;Motorola F3;
274;01111900;Nokia 1112B;
275;01112200;Nokia 6030;
276;01112400;LG 225;
277;01112500;Nokia 3120/6030;
278;01113100;Pantech C300;
279;01113600;Danger Sidekick III;
280;01114500;LG CU500v;
281;01114600;Nokia 6061;
282;01114700;Motorola 170;
283;01114800;Motorola C139;
284;01115200;Nokia 1112;
285;01116400;Nokia 1600;
286;01116900;Samsung c166;
287;01117400;Cingular 2610;
288;01118200;LG CU500;
289;01118700;Motorola C122;
290;01118800;LG LG MG280d;
291;01119100;Nokia 2610;
292;01119800;Motorola C139;
293;01120600;Palm Treo 680;
294;01120700;Palm Treo 750;
295;01121200;LG CU575;
296;01121900;Motorola C168;
297;01122200;Nokia 1112;
298;01122300;Nokia 1112;
299;01122400;Motorola C139;
300;01122600;LG cu400;
301;01122900;LG ME970;
302;01123900;Nokia 6030;
303;01124500;Apple iPhone;
304;01125000;Motorola C139;
305;01126500;Sierra Wireless MC8775;
306;01127400;Nokia 1600;
307;01128400;Nokia mg110;
308;01130000;iPhone Apple;
309;01130100;iPhone Apple;
310;01131900;Nokia 1112;
311;01185100;Motorola V3;
312;01234567;Repaired;
313;01287300;Motorola c139;
314;01626900;Samsung X450;
315;01987500;Motorola V3;
316;01993200;Motorola V360;
317;25835300;Nokia N91;
318;350001FF;Nokia 6250;
319;350002FF;Nokia TU-8;
320;350003FF;Nokia 8890;
321;350004FF;Nokia 6091;
322;350005FF;Nokia 3310;
323;350006FF;Nokia 8250;
324;350007FF;Nokia 5110i;
325;350008FF;Nokia 5110i;
326;350009FF;Nokia 5110;
327;350010FF;Nokia 5110i;
328;350016FF;Siemens SL45;
329;350017FF;Siemens 6686i;
330;350019FF;Siemens B35N/40;
331;350021FF;Siemens B35N;
332;350023FF;Maxon MX-6811A;
333;350024FF;Maxon MX-6810B;
334;350025FF;Maxon MX-6810A;
335;350026FF;Maxon MX-6811B;
336;350027FF;Motorola M8989;
337;350029FF;Motorola Timeport 260;
338;350031FF;Motorola d15;
339;350032FF;Motorola T180;
340;350033FF;Motorola T2288;
341;350034FF;Motorola V2288;
342;350035FF;Motorola T191;
343;350036FF;Motorola T191;
344;350038FF;UbiNetics GC201;
345;350039FF;Matsushita GD52;
346;350040FF;NEC DB3800;
347;350041FF;Maxon MX-6813;
348;350042FF;Maxon MX-6817;
349;350046FF;Maxon MX-6850;
350;350047FF;Maxon MX-6851;
351;350048FF;Matsushita GD52;
352;350049FF;Philips TCD 208/38/18/68;
353;350050FF;Philips CT 9660;
354;350051FF;Philips GW 901A;
355;350052FF;Philips Fisio 311;
356;350053FF;Philips CT 9888/89;
357;350054FF;Philips CT 3328/29;
358;350055FF;Philips TCD 996;
359;350056FF;Philips TOP 9672;
360;350057FF;Philips CT 1208/18;
361;350058FF;Philips Fisio 311;
362;350076FF;Matsushita GD93;
