"tac";"handset_brand";"handset_model";"reporting_body";"approved_in";"gsm450";"gsm850";"gsm900";"gsm1800";"gsm1900";"gsmr";"gsm3";"foma";"iden800";"cdma800";"cdma1800";"cdma1900";"tdma";"satellite"
"'004601";"N/A";"Test phone";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'010135";"Psion";"Netpad 5110 / 5310 / 5510 / 5710";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01017900";"@Road";"iWM 3150";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01019100";"hiptop";"hiptop";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"'01030700";"Trimble";"E11";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01038400";"Skytec";"Skytracker/VR1";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01042300";"N707";"FLAHS";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01043800";"Multi-Tech";"MultiModem GPRS MTCBA-G-U-F2";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01061000";"Wherify";"G560";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01071300";"Sky Patrol";"Evolution TT8540";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01076200";"Accetio";"2189";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01085300";"Dell";"Wireless 5700 ExpressCard";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"'01111700";"Pharos";"GPS 600";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01117800";"DSC";"TL265GS";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"'01124600";"Zoombak";"ZB100 / ZB101 ";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01134000";"Airo";"A25";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01138100";"voila";"321";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01168500";"Hop-On";"1800";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01199800";"Multitech";"MTSMC-G2";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'01215500";"iPhone";"iPhone 3GS";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"'01215800";"Apple";"iPhone 3GS";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"'100150";"Motorola";"i860";"DECT PP with GSM functionality";;"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"'101667";"Sony Ericsson";"T290a";"DECT PP with GSM functionality";;"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'102600";"Nokia";"6600";"DECT PP with GSM functionality";;"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'300002";"Kyocera";"SD-66K (Iridium)";"Iridium";"United States";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"'330001";"Alcatel";"9100";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330006";"Mitsubishi";"MT1000F02A";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330011";"Sagem";"RC410";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330024";"Samsung";"SGH-200";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330030";"Sharp";"TQ G700";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330031";"Acer";"G201";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330035";"Goldtron";"MD900";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330042";"HB";"Mondial ML808";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330043";"Funkanlagen";"Falcom A1";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330044";"Wavecom";"WMO1-G900";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330104";"G-Com";"M-900 Sting";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'330144";"Matsushita";"CF-27";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'332022";"Trium";"Galaxy";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'332308";"Zhong Ling Modern";"MT 345";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'332350";"Radius";"RadiusOne";"Directorate General of Posts and Telecommunications (DGTP)";"France";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350000";"Xiamen";"X936";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350011";"Eastcom";"Helium";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350012";"Kapsch";"GSM-R MT";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"'350014";"MIKOM";"MO4000";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350015";"Benefon";"Esc!";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350016";"Siemens";"SL42 LAG";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350018";"Telular";"TC-2201";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350023";"Maxon";"MX6811A";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350038";"UbiNetics";"GC201";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350039";"Panasonic";"EB-GD52";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350040";"NEC";"DB3800";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350045";"Kejian";"KGH-6600C";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350049";"Philips";"TCD 208 TCD 238 TCD 218";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350056";"TOP";"9672";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350059";"Telit";"SAT600";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"'350081";"Sony";"CMD-J16";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350083";"Soutec";"HT-2018";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350092";"RIM";"Blackberry";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350093";"Hughes";"7100 (Thuraya)";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"'350096";"Sendo";"Duli / D800 / A800 / D100 / H9238";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350116";"DBTel";"DB-2009a / b / c";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350117";"Xircom";"Eagle II 900 / 1800";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350118";"SunCorp";;"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350119";"Magcom";"Magcom 3B";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350120";"Spectronic";"Spectronic TS2000";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350122";"Guo Wei";"Hutel";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350124";"LG";"LG500";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350152";"BACCO";"A728";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350176";"eMobile Comm";"Brainze";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350181";"Telson";"TG-118";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350182";"Symbol Technologies";"SPT1834";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350184";"Compal";"XG2";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350185";"Konka";"3268";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350191";"Innostream";"I-100";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350205";"Fujitsu";"F2601 / FMP01-001 / FOMA F2611";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"'350209";"Toshiba";"T2102V";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"'350212";"Sanyo";"SUP-100";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350231";"Ando";"TM200";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"'350238";"Seiko";"VC701SI";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"'350287";"FOMA";"SH901i";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"'350300";"Arima";"M200A2 / M200B2";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350304";"Compaq";"iPAQ";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350306";"CECT";"56D80";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350308";"SOLOMON";"SCG8212";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350312";"O2";"XDA";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
